מחיר בסיס	תאור פריט		מספר קטלוגי
62		צינור שחור 16	5002116
62		צינור שחור 20	5002120
62		צינור שחור 25	5002125
105		צינור שחור 32	5002132
170		צינור שחור 40	5002140
175		צינור שחור תקשורת 50	5002150
175		צינור שחור תקשורת עם חוט 50	5002250
82		צינור ירוק 16	5003116
82		צינור ירוק 20	5004120
82		צינור ירוק 25	5005125
160		צינור ירוק 32	5006132
260		צינור ירוק 40	5007140
82		צינור אדום 16	5003216
82		צינור אדום 20	5004220
82		צינור אדום 25	5005225
82		צינור צהוב 16	5003316
82		צינור צהוב 20	5004320
82		צינור צהוב 25	5005325
82		צינור כחול 16	5003516
82		צינור כחול 20	5004520
82		צינור כחול 25	5005525
82		צינור כחול 32	5006532
82		צינור לבן 20	5004420
82		צינור לבן 25	5005425
82		צינור חום 20	5004620
82		צינור חום 25	5005625
160		צינור חום 32	5006632
100		צינור קוברה 40	6006140
110		צינור קוברה 50	6006150
160		צינור קוברה 75	6006175
170		צינור קוברה 110 ( 25מ)	6006110
28	חישוב לפי מטר	צינור קוברה 160 (25מ)	6006160
6.2	חישוב לפי מטר	צינור יקע 50 (100מ)	606650
9.8	חישוב לפי מטר	צינור יקע 63 (100מ)	606663
12.5	חישוב לפי מטר	צינור יקע 75 (100מ)	606675
52		צינור שרשורי 16	500916
62		צינור שרשורי 20	500920
130		צינור שרשורי 25	500925
180		צינור שרשורי 32	500932
60		ABS IP65  200X300X130	OM6001
90		ABS IP65 250X350X150	OM6002
105		ABS IP65 300X400X220	OM6004
120		ABS IP65 350X500X190	OM6005
30		ABS IP65 400X500X240	OM6007
140		ABS IP65 400X600X200	OM6008
210		ABS IP65 500X600X220	OM6009
240		ABS IP65 500X700X250	OM6010
320		ABS IP65 600X800X260	OM6011
